order_type,payment_method,Month,day Of Week,Hour,Discount Category,order_id
Delivery,Credit Card,May,Tuesday,13,High Discount,127516
Delivery,Credit Card,May,Tuesday,16,Medium Discount,127648
Delivery,Wallet,May,Tuesday,10,No Discount,127862
Delivery,Wallet,May,Tuesday,15,Medium Discount,127954
Dine-in,Debit Card,May,Tuesday,15,No Discount,128210
Dine-in,Credit Card,May,Tuesday,12,No Discount,129673
Delivery,UPI,May,Tuesday,12,No Discount,129680
Delivery,Debit Card,May,Tuesday,10,High Discount,129863
Delivery,Credit Card,May,Tuesday,16,No Discount,129974
Delivery,UPI,May,Tuesday,21,No Discount,130688
Takeaway,Wallet,May,Tuesday,16,No Discount,133448
Dine-in,Cash,May,Tuesday,16,Low Discount,133548
Takeaway,Wallet,May,Tuesday,17,No Discount,133773
Dine-in,Wallet,May,Tuesday,12,Medium Discount,133886
Delivery,Wallet,May,Tuesday,19,High Discount,134021
Takeaway,Credit Card,May,Tuesday,10,Medium Discount,134200
Dine-in,Credit Card,May,Tuesday,16,No Discount,134205
Delivery,Credit Card,May,Tuesday,20,Medium Discount,134604
Takeaway,Credit Card,May,Tuesday,13,High Discount,135056
Delivery,Debit Card,May,Tuesday,10,Medium Discount,135561
Dine-in,UPI,May,Tuesday,21,Low Discount,135746
Dine-in,UPI,May,Tuesday,13,High Discount,137054
Delivery,Cash,May,Tuesday,16,No Discount,137333
Delivery,Wallet,May,Tuesday,17,High Discount,138247
Takeaway,Wallet,May,Tuesday,12,Low Discount,138379
Dine-in,Cash,May,Tuesday,13,Low Discount,138891
Takeaway,Cash,May,Tuesday,11,High Discount,139231
Dine-in,Wallet,May,Tuesday,15,No Discount,139263
Delivery,Wallet,May,Tuesday,20,No Discount,139577
Dine-in,Wallet,May,Tuesday,21,Medium Discount,139617
Dine-in,UPI,May,Tuesday,17,No Discount,140324
Delivery,UPI,May,Tuesday,21,No Discount,140439
Takeaway,Cash,May,Tuesday,17,No Discount,141515
Delivery,UPI,May,Tuesday,20,Medium Discount,141609
Dine-in,Credit Card,May,Tuesday,21,No Discount,142101
Takeaway,Credit Card,May,Tuesday,18,High Discount,142767
Delivery,UPI,May,Tuesday,19,No Discount,143018
Dine-in,Debit Card,May,Tuesday,20,High Discount,143422
Dine-in,Cash,May,Tuesday,15,High Discount,143804
Dine-in,Cash,May,Tuesday,12,Medium Discount,143892
Delivery,Credit Card,May,Tuesday,22,No Discount,144213
Takeaway,Debit Card,May,Tuesday,21,High Discount,144302
Takeaway,UPI,May,Tuesday,21,No Discount,144616
Delivery,Wallet,May,Tuesday,15,No Discount,144775
Dine-in,Cash,May,Tuesday,19,No Discount,145389
Delivery,Credit Card,May,Tuesday,19,No Discount,145913
Delivery,Cash,May,Tuesday,18,No Discount,146040
Dine-in,Wallet,May,Tuesday,12,No Discount,146726
Delivery,Cash,May,Tuesday,10,High Discount,147001
Takeaway,Debit Card,May,Tuesday,18,No Discount,147283
Delivery,Cash,May,Tuesday,19,High Discount,147293
Takeaway,Debit Card,May,Tuesday,18,Medium Discount,147574
Delivery,Credit Card,May,Tuesday,20,No Discount,148463
Takeaway,Debit Card,May,Tuesday,12,High Discount,148874
Takeaway,Debit Card,May,Tuesday,14,No Discount,148919
Dine-in,Cash,May,Tuesday,21,High Discount,149009
Takeaway,Cash,May,Tuesday,14,High Discount,149409
Delivery,Debit Card,May,Tuesday,12,No Discount,149769
Takeaway,Wallet,June,Friday,17,Medium Discount,100339
Delivery,UPI,June,Friday,16,High Discount,100590
Delivery,Debit Card,June,Friday,19,High Discount,101875
Dine-in,Wallet,June,Friday,10,No Discount,101958
Takeaway,Wallet,June,Friday,19,Medium Discount,102327
Takeaway,Credit Card,June,Friday,20,No Discount,102413
Dine-in,Cash,June,Friday,22,Medium Discount,102571
Dine-in,Wallet,June,Friday,22,Medium Discount,102919
Takeaway,Credit Card,June,Friday,17,No Discount,103133
Dine-in,UPI,June,Friday,13,No Discount,103938
Takeaway,Cash,June,Friday,22,No Discount,104882
Delivery,Debit Card,June,Friday,10,No Discount,105434
Dine-in,Cash,June,Friday,12,No Discount,105606
Dine-in,Cash,June,Friday,17,Low Discount,105997
Delivery,UPI,June,Friday,11,Medium Discount,106079
Dine-in,Cash,June,Friday,21,High Discount,106616
Dine-in,Debit Card,June,Friday,18,No Discount,106845
Dine-in,Debit Card,June,Friday,10,High Discount,107009
Delivery,Debit Card,June,Friday,16,No Discount,107270
Delivery,UPI,June,Friday,12,Medium Discount,107640
Takeaway,UPI,June,Friday,19,No Discount,108037
Takeaway,Cash,June,Friday,18,No Discount,109143
Delivery,Credit Card,June,Friday,10,Low Discount,109394
Dine-in,Cash,June,Friday,21,Low Discount,109946
Delivery,Credit Card,June,Friday,17,Low Discount,110475
Dine-in,Debit Card,June,Friday,22,No Discount,110666
Delivery,Credit Card,June,Friday,13,Medium Discount,111087
Takeaway,Wallet,June,Friday,15,Medium Discount,111506
Takeaway,Cash,June,Friday,11,No Discount,111706
Dine-in,Wallet,June,Friday,19,Low Discount,112075
Delivery,Credit Card,June,Friday,19,Low Discount,112680
Takeaway,Cash,June,Friday,12,Medium Discount,113181
Delivery,Cash,June,Friday,14,No Discount,113202
Takeaway,Credit Card,June,Friday,14,Low Discount,113208
Takeaway,Cash,June,Friday,21,Low Discount,114231
Delivery,Debit Card,June,Friday,21,No Discount,114631
Delivery,UPI,June,Friday,17,High Discount,114979
Dine-in,Wallet,June,Friday,10,No Discount,115411
Takeaway,Wallet,June,Friday,13,Low Discount,115553
Takeaway,UPI,June,Friday,10,High Discount,115820
Takeaway,Wallet,June,Friday,20,Low Discount,116056
Dine-in,Credit Card,June,Friday,14,Low Discount,116459
Takeaway,Cash,June,Friday,11,No Discount,116813
Delivery,UPI,June,Friday,10,High Discount,117115
Dine-in,Cash,June,Friday,10,No Discount,117317
Takeaway,Credit Card,June,Friday,18,Low Discount,117904
Delivery,Cash,June,Friday,19,No Discount,117924
Takeaway,Debit Card,June,Friday,14,High Discount,118165
Takeaway,UPI,June,Friday,16,High Discount,119470
Takeaway,UPI,June,Friday,11,High Discount,119531
Dine-in,Credit Card,June,Friday,16,No Discount,121306
Delivery,Debit Card,June,Friday,17,No Discount,121338
Takeaway,Cash,June,Friday,21,No Discount,121343
Takeaway,Credit Card,June,Friday,12,No Discount,121410
Delivery,Debit Card,June,Friday,10,High Discount,121633
Takeaway,Debit Card,June,Friday,14,High Discount,121701
Takeaway,Wallet,June,Friday,12,Low Discount,122628
Takeaway,Debit Card,June,Friday,20,Medium Discount,123403
Dine-in,Debit Card,June,Friday,15,No Discount,124025
Delivery,UPI,June,Friday,15,High Discount,125317
Delivery,Credit Card,June,Friday,10,No Discount,125384
Delivery,Wallet,June,Friday,22,Medium Discount,125928
Takeaway,UPI,June,Friday,18,No Discount,126473
Dine-in,Credit Card,June,Friday,18,No Discount,127169
Takeaway,UPI,June,Friday,19,High Discount,127585
Dine-in,Credit Card,June,Friday,15,High Discount,127985
Takeaway,Debit Card,June,Friday,10,High Discount,128528
Delivery,UPI,June,Friday,13,Low Discount,128896
Delivery,Credit Card,June,Friday,20,No Discount,129690
Delivery,Cash,June,Friday,10,High Discount,130067
Delivery,Wallet,June,Friday,18,No Discount,130176
Dine-in,UPI,June,Friday,20,High Discount,131054
Dine-in,Wallet,June,Friday,12,Medium Discount,131244
Delivery,Credit Card,June,Friday,13,Medium Discount,131490
Takeaway,Credit Card,June,Friday,22,Low Discount,132339
Dine-in,Credit Card,June,Friday,17,No Discount,132740
Dine-in,Cash,June,Friday,11,No Discount,132840
Delivery,Wallet,June,Friday,17,No Discount,133283
Delivery,Debit Card,June,Friday,12,No Discount,133645
Takeaway,UPI,June,Friday,18,High Discount,134476
Dine-in,Credit Card,June,Friday,15,No Discount,134612
Dine-in,Credit Card,June,Friday,20,No Discount,135035
Delivery,Cash,June,Friday,18,High Discount,135461
Dine-in,Credit Card,June,Friday,10,Low Discount,136771
Takeaway,Wallet,June,Friday,14,High Discount,137846
Dine-in,Wallet,June,Friday,18,Medium Discount,138411
Takeaway,Credit Card,June,Friday,12,Low Discount,138747
Delivery,Credit Card,June,Friday,13,High Discount,139262
Delivery,Debit Card,June,Friday,15,No Discount,139356
Delivery,Cash,June,Friday,14,No Discount,139714
Takeaway,Wallet,June,Friday,17,High Discount,140468
Dine-in,Cash,June,Friday,15,Low Discount,140545
Delivery,Debit Card,June,Friday,18,Low Discount,141101
Delivery,Credit Card,June,Friday,22,Low Discount,141151
Dine-in,Wallet,June,Friday,18,Medium Discount,141266
Delivery,Credit Card,June,Friday,13,No Discount,141471
Takeaway,Wallet,June,Friday,17,No Discount,141851
Takeaway,Wallet,June,Friday,11,High Discount,142097
Delivery,Wallet,June,Friday,19,No Discount,142117
Takeaway,Cash,June,Friday,12,High Discount,142258
Dine-in,Credit Card,June,Friday,19,No Discount,143235
Delivery,Cash,June,Friday,22,Medium Discount,143678
Takeaway,Wallet,June,Friday,15,Low Discount,143728
Delivery,Wallet,June,Friday,22,No Discount,143814
Delivery,Wallet,June,Friday,11,Medium Discount,144147
Delivery,Wallet,June,Friday,14,No Discount,144278
Dine-in,Debit Card,June,Friday,15,Low Discount,144356
Delivery,UPI,June,Friday,19,No Discount,144565
Delivery,UPI,June,Friday,18,No Discount,144755
Dine-in,Debit Card,June,Friday,16,Medium Discount,145142
Delivery,Cash,June,Friday,14,No Discount,145200
Dine-in,Cash,June,Friday,20,High Discount,145244
Delivery,Credit Card,June,Friday,22,No Discount,145595
Takeaway,Cash,June,Friday,12,Medium Discount,145647
Delivery,Cash,June,Friday,19,High Discount,145780
Takeaway,UPI,June,Friday,15,High Discount,146014
Dine-in,Cash,June,Friday,16,Low Discount,146084
Dine-in,Wallet,June,Friday,12,Low Discount,147422
Delivery,Credit Card,June,Friday,19,High Discount,148048
Dine-in,Cash,June,Friday,21,High Discount,148922
Dine-in,Wallet,June,Friday,15,No Discount,149751
Delivery,Wallet,July,Sunday,17,Low Discount,100351
Dine-in,Debit Card,July,Sunday,22,Low Discount,101092
Delivery,Cash,July,Sunday,19,No Discount,101645
Dine-in,Credit Card,July,Sunday,10,High Discount,102395
Takeaway,UPI,July,Sunday,11,Low Discount,102901
Dine-in,Wallet,July,Sunday,18,Low Discount,103158
Delivery,UPI,July,Sunday,16,No Discount,103924
Takeaway,UPI,July,Sunday,16,Medium Discount,104159
Delivery,Credit Card,July,Sunday,18,High Discount,104455
Dine-in,Debit Card,July,Sunday,12,No Discount,104474
Dine-in,Cash,July,Sunday,19,No Discount,104619
Delivery,Cash,July,Sunday,14,High Discount,105505
Takeaway,Wallet,July,Sunday,16,Medium Discount,107256
Delivery,Cash,July,Sunday,13,No Discount,107464
Takeaway,Wallet,July,Sunday,10,High Discount,108468
Delivery,Cash,July,Sunday,15,No Discount,108503
Delivery,Credit Card,July,Sunday,10,No Discount,108890
Delivery,Wallet,July,Sunday,15,No Discount,108979
Dine-in,UPI,July,Sunday,21,Low Discount,109487
Dine-in,Debit Card,July,Sunday,21,Low Discount,110048
Dine-in,Debit Card,July,Sunday,14,Low Discount,110778
Delivery,UPI,July,Sunday,17,No Discount,111155
Takeaway,Cash,July,Sunday,21,High Discount,111195
Takeaway,Cash,July,Sunday,17,Medium Discount,111542
Dine-in,Cash,July,Sunday,17,Medium Discount,111652
Delivery,Cash,July,Sunday,15,Low Discount,111697
Takeaway,Wallet,July,Sunday,22,No Discount,111731
Delivery,Debit Card,July,Sunday,11,High Discount,111877
Takeaway,Credit Card,July,Sunday,19,Medium Discount,112372
Dine-in,Debit Card,July,Sunday,11,No Discount,112720
Delivery,Credit Card,July,Sunday,14,No Discount,112923
Takeaway,Cash,July,Sunday,13,High Discount,113017
Delivery,Cash,July,Sunday,18,High Discount,113271
Takeaway,Cash,July,Sunday,11,No Discount,114028
Takeaway,Credit Card,July,Sunday,16,Medium Discount,114359
Takeaway,Credit Card,July,Sunday,10,High Discount,114564
Takeaway,Cash,July,Sunday,11,Low Discount,115166
Takeaway,Debit Card,July,Sunday,15,No Discount,115592
Dine-in,Debit Card,July,Sunday,20,High Discount,115601
Takeaway,Debit Card,July,Sunday,19,No Discount,115988
Takeaway,Credit Card,July,Sunday,10,Medium Discount,116565
Takeaway,Cash,July,Sunday,15,No Discount,117510
Delivery,Wallet,July,Sunday,13,Low Discount,118217
Delivery,UPI,July,Sunday,22,Medium Discount,118376
Dine-in,Debit Card,July,Sunday,10,Medium Discount,118453
Delivery,Wallet,July,Sunday,23,Medium Discount,118519
Dine-in,UPI,July,Sunday,19,No Discount,118601
Dine-in,Credit Card,July,Sunday,13,No Discount,119087
Takeaway,Debit Card,July,Sunday,16,No Discount,120052
Delivery,Cash,July,Sunday,16,High Discount,120326
Dine-in,UPI,July,Sunday,12,High Discount,120366
Delivery,Credit Card,July,Sunday,15,No Discount,121511
Delivery,Credit Card,July,Sunday,16,Low Discount,121824
Dine-in,Debit Card,July,Sunday,16,High Discount,121826
Takeaway,Cash,July,Sunday,22,Medium Discount,122183
Dine-in,Cash,July,Sunday,12,High Discount,122695
Takeaway,Credit Card,July,Sunday,13,No Discount,122735
Dine-in,Debit Card,July,Sunday,16,Medium Discount,122859
Dine-in,Credit Card,July,Sunday,17,Medium Discount,123507
Delivery,Debit Card,July,Sunday,16,No Discount,123675
Takeaway,Cash,July,Sunday,15,No Discount,123735
Takeaway,Debit Card,July,Sunday,22,High Discount,124220
Takeaway,Wallet,July,Sunday,19,No Discount,124557
Delivery,Debit Card,July,Sunday,11,No Discount,124606
Takeaway,UPI,July,Sunday,16,No Discount,125285
Delivery,Debit Card,July,Sunday,19,Medium Discount,125511
Takeaway,Credit Card,July,Sunday,15,Medium Discount,125569
Takeaway,Debit Card,July,Sunday,22,No Discount,125957
Takeaway,Credit Card,July,Sunday,21,No Discount,126365
Dine-in,Credit Card,July,Sunday,11,High Discount,127467
Takeaway,Wallet,July,Sunday,12,Low Discount,127577
Dine-in,UPI,July,Sunday,15,Medium Discount,128365
Takeaway,Debit Card,July,Sunday,20,High Discount,128902
Dine-in,UPI,July,Sunday,16,Low Discount,129512
Delivery,Cash,July,Sunday,18,High Discount,129598
Takeaway,Credit Card,July,Sunday,20,No Discount,129636
Dine-in,UPI,July,Sunday,10,High Discount,129993
Delivery,Debit Card,July,Sunday,15,No Discount,130037
Delivery,Debit Card,July,Sunday,13,Low Discount,130564
Dine-in,UPI,July,Sunday,20,No Discount,131629
Delivery,Wallet,July,Sunday,11,No Discount,131750
Delivery,UPI,July,Sunday,21,Low Discount,131871
Takeaway,UPI,July,Sunday,12,No Discount,132154
Takeaway,Debit Card,July,Sunday,18,Medium Discount,132210
Dine-in,Wallet,July,Sunday,20,No Discount,132596
Takeaway,Credit Card,July,Sunday,18,No Discount,132598
Dine-in,UPI,July,Sunday,15,High Discount,133429
Takeaway,Credit Card,July,Sunday,13,No Discount,133820
Dine-in,UPI,July,Sunday,11,No Discount,133838
Takeaway,Credit Card,July,Sunday,14,High Discount,134223
Delivery,UPI,July,Sunday,12,No Discount,135520
Delivery,Cash,July,Sunday,16,High Discount,135614
Dine-in,Cash,July,Sunday,13,No Discount,136527
Dine-in,Wallet,July,Sunday,11,Low Discount,136796
Dine-in,UPI,July,Sunday,11,High Discount,137881
Delivery,Wallet,July,Sunday,14,No Discount,137947
Delivery,Cash,July,Sunday,11,High Discount,138483
Delivery,Debit Card,July,Sunday,15,No Discount,138500
Delivery,Credit Card,July,Sunday,13,Low Discount,138529
Takeaway,Cash,July,Sunday,12,No Discount,138677
Dine-in,UPI,July,Sunday,16,Low Discount,139163
Delivery,UPI,July,Sunday,18,No Discount,139642
Takeaway,Wallet,July,Sunday,11,High Discount,140032
Delivery,UPI,July,Sunday,14,No Discount,140114
Delivery,Debit Card,July,Sunday,20,Low Discount,140124
Delivery,Wallet,July,Sunday,13,High Discount,140456
Delivery,Cash,July,Sunday,18,No Discount,140525
Takeaway,Debit Card,July,Sunday,20,Low Discount,140780
Takeaway,Debit Card,July,Sunday,11,Low Discount,140790
Takeaway,UPI,July,Sunday,10,Low Discount,141436
Takeaway,Credit Card,July,Sunday,20,No Discount,141537
Takeaway,Wallet,July,Sunday,21,High Discount,141615
Dine-in,Credit Card,July,Sunday,19,No Discount,143338
Dine-in,Cash,July,Sunday,17,High Discount,143981
Dine-in,Debit Card,July,Sunday,10,High Discount,144713
Delivery,Credit Card,July,Sunday,13,Medium Discount,144724
Delivery,Debit Card,July,Sunday,12,Low Discount,145660
Delivery,Debit Card,July,Sunday,20,High Discount,145929
Dine-in,Credit Card,July,Sunday,18,No Discount,146202
Takeaway,Debit Card,July,Sunday,14,High Discount,146271
Takeaway,Cash,July,Sunday,14,Medium Discount,146429
Delivery,Credit Card,July,Sunday,22,No Discount,146662
Dine-in,Cash,July,Sunday,16,No Discount,146802
Delivery,Credit Card,July,Sunday,20,No Discount,147936
Dine-in,Debit Card,July,Sunday,22,Medium Discount,147994
Takeaway,UPI,July,Sunday,14,Medium Discount,148050
Dine-in,Debit Card,July,Sunday,10,Medium Discount,149516
Dine-in,Debit Card,July,Sunday,16,High Discount,149545
Delivery,UPI,July,Sunday,17,Low Discount,149640
Dine-in,Cash,July,Sunday,17,High Discount,149775
Dine-in,Cash,July,Sunday,19,No Discount,149782
Dine-in,Credit Card,July,Sunday,10,High Discount,149811
Takeaway,Cash,July,Sunday,18,High Discount,149995
Takeaway,Debit Card,August,Wednesday,18,High Discount,100286
Takeaway,Cash,August,Wednesday,17,No Discount,100903
Delivery,Credit Card,August,Wednesday,14,Medium Discount,101317
Takeaway,Wallet,August,Wednesday,16,No Discount,101360
Dine-in,Cash,August,Wednesday,22,High Discount,101647
Takeaway,UPI,August,Wednesday,19,High Discount,102083
Dine-in,Wallet,August,Wednesday,20,No Discount,102433
Delivery,Debit Card,August,Wednesday,14,Medium Discount,102464
Dine-in,Wallet,August,Wednesday,19,High Discount,102846
Takeaway,UPI,August,Wednesday,11,Low Discount,103665
Takeaway,UPI,August,Wednesday,19,High Discount,103695
Takeaway,Debit Card,August,Wednesday,16,No Discount,104853
Dine-in,Wallet,August,Wednesday,11,No Discount,105358
Dine-in,Cash,August,Wednesday,12,No Discount,105386
Takeaway,UPI,August,Wednesday,19,No Discount,105988
Dine-in,Cash,August,Wednesday,20,Low Discount,106237
Dine-in,UPI,August,Wednesday,10,Medium Discount,106640
Dine-in,UPI,August,Wednesday,22,Low Discount,106787
Delivery,Debit Card,August,Wednesday,21,High Discount,107386
Dine-in,UPI,August,Wednesday,15,High Discount,108580
Delivery,UPI,August,Wednesday,15,High Discount,109341
Dine-in,UPI,August,Wednesday,21,No Discount,109539
Dine-in,Wallet,August,Wednesday,15,No Discount,109786
Dine-in,Cash,August,Wednesday,16,No Discount,109791
Takeaway,UPI,August,Wednesday,12,No Discount,109877
Dine-in,Cash,August,Wednesday,22,High Discount,110312
Dine-in,Cash,August,Wednesday,15,Low Discount,110587
Takeaway,UPI,August,Wednesday,10,No Discount,110745
Takeaway,UPI,August,Wednesday,17,High Discount,110807
Dine-in,Wallet,August,Wednesday,12,Medium Discount,111166
Takeaway,UPI,August,Wednesday,22,No Discount,111463
Delivery,Cash,August,Wednesday,12,No Discount,112012
Dine-in,Cash,August,Wednesday,19,No Discount,112062
Delivery,Wallet,August,Wednesday,14,Medium Discount,112073
Dine-in,Wallet,August,Wednesday,13,High Discount,114828
Delivery,UPI,August,Wednesday,15,No Discount,114902
Takeaway,Debit Card,August,Wednesday,11,No Discount,115152
Dine-in,UPI,August,Wednesday,15,No Discount,115813
Takeaway,Cash,August,Wednesday,15,No Discount,116043
Delivery,Credit Card,August,Wednesday,16,No Discount,116210
Delivery,UPI,August,Wednesday,21,No Discount,116427
Dine-in,Wallet,August,Wednesday,12,Medium Discount,116905
Dine-in,Wallet,August,Wednesday,20,High Discount,117043
Delivery,Debit Card,August,Wednesday,18,Low Discount,117879
Delivery,Wallet,August,Wednesday,11,Medium Discount,117912
Takeaway,Credit Card,August,Wednesday,19,No Discount,118504
Takeaway,UPI,August,Wednesday,17,Low Discount,118620
Takeaway,UPI,August,Wednesday,19,No Discount,118813
Delivery,Credit Card,August,Wednesday,14,No Discount,119280
Takeaway,Cash,August,Wednesday,21,Medium Discount,119373
Dine-in,Cash,August,Wednesday,15,High Discount,119595
Takeaway,Debit Card,August,Wednesday,11,Medium Discount,119909
Takeaway,Credit Card,August,Wednesday,18,No Discount,120131
Delivery,Wallet,August,Wednesday,19,Medium Discount,120371
Delivery,Wallet,August,Wednesday,13,High Discount,120705
Takeaway,Cash,August,Wednesday,19,High Discount,122158
Dine-in,Debit Card,August,Wednesday,10,High Discount,122856
Delivery,Cash,August,Wednesday,14,No Discount,122899
Dine-in,UPI,August,Wednesday,12,No Discount,123779
Dine-in,Credit Card,August,Wednesday,15,High Discount,123930
Takeaway,UPI,August,Wednesday,16,High Discount,124038
Takeaway,Cash,August,Wednesday,10,High Discount,124844
Delivery,Debit Card,August,Wednesday,15,Low Discount,125192
Takeaway,Wallet,August,Wednesday,21,Medium Discount,125195
Takeaway,Credit Card,August,Wednesday,17,No Discount,125260
Dine-in,Debit Card,August,Wednesday,14,Low Discount,126026
Dine-in,Cash,August,Wednesday,20,No Discount,126383
Delivery,Credit Card,August,Wednesday,21,High Discount,127760
Delivery,Credit Card,August,Wednesday,19,High Discount,128452
Takeaway,Debit Card,August,Wednesday,13,Medium Discount,128739
Dine-in,Debit Card,August,Wednesday,22,Medium Discount,129774
Takeaway,Debit Card,August,Wednesday,18,Medium Discount,129875
Takeaway,UPI,August,Wednesday,15,No Discount,130330
Takeaway,Cash,August,Wednesday,11,No Discount,130558
Delivery,Wallet,August,Wednesday,11,No Discount,131303
Delivery,Debit Card,August,Wednesday,20,No Discount,131903
Delivery,UPI,August,Wednesday,14,No Discount,132176
Delivery,Wallet,August,Wednesday,16,Low Discount,132390
Delivery,Debit Card,August,Wednesday,13,No Discount,132939
Delivery,Wallet,August,Wednesday,13,No Discount,133529
Dine-in,UPI,August,Wednesday,12,No Discount,134042
Dine-in,Debit Card,August,Wednesday,18,No Discount,134140
Takeaway,Debit Card,August,Wednesday,14,High Discount,134280
Takeaway,Debit Card,August,Wednesday,10,Medium Discount,134376
Takeaway,Debit Card,August,Wednesday,10,No Discount,134443
Delivery,UPI,August,Wednesday,22,Low Discount,134462
Takeaway,Wallet,August,Wednesday,13,No Discount,134519
Delivery,UPI,August,Wednesday,19,Low Discount,134534
Takeaway,Wallet,August,Wednesday,18,Medium Discount,135028
Dine-in,Cash,August,Wednesday,15,Medium Discount,135054
Dine-in,Credit Card,August,Wednesday,10,No Discount,135699
Takeaway,Credit Card,August,Wednesday,15,No Discount,135917
Dine-in,Credit Card,August,Wednesday,18,No Discount,136198
Delivery,Credit Card,August,Wednesday,11,No Discount,136851
Takeaway,Wallet,August,Wednesday,19,No Discount,136942
Dine-in,Debit Card,August,Wednesday,20,No Discount,137200
Dine-in,Debit Card,August,Wednesday,14,High Discount,138083
Dine-in,UPI,August,Wednesday,15,No Discount,139042
Takeaway,UPI,August,Wednesday,17,No Discount,140062
Dine-in,Wallet,August,Wednesday,18,No Discount,140639
Takeaway,Cash,August,Wednesday,15,Low Discount,141121
Takeaway,Credit Card,August,Wednesday,16,Low Discount,141716
Dine-in,Credit Card,August,Wednesday,15,Medium Discount,142374
Delivery,Wallet,August,Wednesday,20,No Discount,142540
Takeaway,Credit Card,August,Wednesday,20,High Discount,142779
Dine-in,Credit Card,August,Wednesday,13,High Discount,142951
Dine-in,Wallet,August,Wednesday,13,Medium Discount,143806
Takeaway,Wallet,August,Wednesday,22,Medium Discount,144683
Delivery,Debit Card,August,Wednesday,14,Low Discount,144720
Delivery,Debit Card,August,Wednesday,12,Low Discount,145344
Takeaway,Credit Card,August,Wednesday,21,Low Discount,146184
Dine-in,Credit Card,August,Wednesday,19,Medium Discount,146369
Dine-in,Credit Card,August,Wednesday,19,No Discount,146848
Dine-in,Debit Card,August,Wednesday,19,Low Discount,147072
Delivery,UPI,August,Wednesday,14,Low Discount,147237
Delivery,Cash,August,Wednesday,15,Medium Discount,147833
Dine-in,Cash,August,Wednesday,22,No Discount,148319
Takeaway,Debit Card,August,Wednesday,15,High Discount,148526
Takeaway,Debit Card,August,Wednesday,15,High Discount,149032
Takeaway,UPI,August,Wednesday,17,Low Discount,149126
Takeaway,Cash,August,Wednesday,10,No Discount,149637
Dine-in,Cash,August,Wednesday,20,No Discount,149701
Dine-in,Wallet,September,Saturday,11,Medium Discount,100620
Takeaway,Debit Card,September,Saturday,11,Low Discount,100934
Delivery,UPI,September,Saturday,19,Medium Discount,101307
Dine-in,Wallet,September,Saturday,15,Low Discount,101579
Delivery,Cash,September,Saturday,13,No Discount,101844
Dine-in,Wallet,September,Saturday,15,No Discount,102633
Delivery,Credit Card,September,Saturday,14,High Discount,103034
Takeaway,Credit Card,September,Saturday,10,High Discount,103302
Dine-in,Cash,September,Saturday,16,High Discount,103367
Delivery,Cash,September,Saturday,17,Low Discount,103407
Dine-in,Credit Card,September,Saturday,20,No Discount,103497
Takeaway,Wallet,September,Saturday,17,Medium Discount,104651
Delivery,Cash,September,Saturday,22,No Discount,104770
Takeaway,Credit Card,September,Saturday,12,Low Discount,105330
Takeaway,Cash,September,Saturday,12,No Discount,106116
Dine-in,UPI,September,Saturday,11,Low Discount,106233
Delivery,Credit Card,September,Saturday,10,No Discount,106402
Takeaway,UPI,September,Saturday,20,No Discount,106514
Takeaway,Cash,September,Saturday,18,Medium Discount,107007
Delivery,UPI,September,Saturday,19,High Discount,107139
Takeaway,Cash,September,Saturday,22,No Discount,107179
Delivery,Debit Card,September,Saturday,13,No Discount,107602
Dine-in,UPI,September,Saturday,10,No Discount,107751
Delivery,Debit Card,September,Saturday,19,Low Discount,108198
Delivery,UPI,September,Saturday,19,Medium Discount,108278
Delivery,Cash,September,Saturday,21,High Discount,108436
Delivery,Debit Card,September,Saturday,15,Low Discount,109006
Delivery,Debit Card,September,Saturday,10,High Discount,109567
Dine-in,Wallet,September,Saturday,19,High Discount,109833
Takeaway,UPI,September,Saturday,12,No Discount,110106
Delivery,Debit Card,September,Saturday,20,No Discount,110527
Dine-in,Wallet,September,Saturday,15,Low Discount,110772
Takeaway,Credit Card,September,Saturday,19,Medium Discount,111902
Takeaway,Wallet,September,Saturday,16,High Discount,112262
Takeaway,Wallet,September,Saturday,21,Medium Discount,112544
Takeaway,Wallet,September,Saturday,15,No Discount,112878
Dine-in,Credit Card,September,Saturday,13,No Discount,112944
Takeaway,Cash,September,Saturday,18,Medium Discount,113042
Delivery,Wallet,September,Saturday,20,Low Discount,113105
Dine-in,Cash,September,Saturday,18,No Discount,113167
Takeaway,Debit Card,September,Saturday,15,Medium Discount,113334
Takeaway,Wallet,September,Saturday,15,Low Discount,113525
Takeaway,UPI,September,Saturday,21,High Discount,114925
Delivery,Debit Card,September,Saturday,15,No Discount,115089
Delivery,Debit Card,September,Saturday,13,Medium Discount,115100
Delivery,Wallet,September,Saturday,18,Medium Discount,115612
Dine-in,UPI,September,Saturday,17,No Discount,116156
Takeaway,Credit Card,September,Saturday,10,No Discount,116208
Dine-in,Credit Card,September,Saturday,14,Medium Discount,116509
Dine-in,Credit Card,September,Saturday,16,Medium Discount,116892
Delivery,Wallet,September,Saturday,12,Medium Discount,117871
Takeaway,Debit Card,September,Saturday,13,High Discount,117934
Delivery,Debit Card,September,Saturday,16,Medium Discount,117968
Takeaway,UPI,September,Saturday,19,No Discount,118333
Takeaway,Cash,September,Saturday,22,High Discount,118410
Dine-in,Cash,September,Saturday,15,Low Discount,118634
Dine-in,Debit Card,September,Saturday,20,Low Discount,119663
Delivery,Debit Card,September,Saturday,21,No Discount,119780
Delivery,Cash,September,Saturday,19,High Discount,120666
